year,region,shootings_rate,trust_police_average,education_average,income_average
2018,västragötaland,2.98278058315115,2.27739726027397,2.25265511458916,3.50116686114352
2018,blekinge,1.25247363542997,2.43076923076923,2.11229946524064,3.2
2018,jönköping,2.49428393265433,2.26446280991736,2.1139896373057,3.40055248618785
2018,västernorrland,0.407409972581309,2.44705882352941,2.18045112781955,3.31517509727627
2018,västmanland,1.82529049498228,2.16901408450704,2.216,3.50214592274678
2018,södermanland,4.41134053852288,2.27272727272727,2.14803625377644,3.37025316455696
2018,värmland,0,2.34444444444444,2.15693430656934,3.16153846153846
2018,uppsala,6.11126758317967,2.17777777777778,2.33333333333333,3.44949494949495
2018,norrbotten,3.19365102176872,2.27551020408163,2.17557251908397,3.39271255060729
2018,halland,2.12538560567417,2.29752066115702,2.2247191011236,3.5786350148368
2018,östergötland,0.433291520701586,2.30322580645161,2.27252747252747,3.45205479452055
2018,gävleborg,1.0469486681068,2.21428571428571,2.10294117647059,3.30501930501931
2018,kalmar,1.22614133322434,2.4040404040404,2.10862619808307,3.15384615384615
2018,gotland,0,2.4040404040404,2.10862619808307,3.15384615384615
2018,stockholm,4.43662536623489,2.32724902216428,2.44474153297683,3.71282051282051
2018,örebro,1.98509852705689,2.11702127659574,2.13398692810458,3.29757785467128
2018,kronoberg,1.0005703250853,2.38461538461538,2.19282511210762,3.35159817351598
2018,skåne,5.6527701510244,2.42980561555076,2.29548762736536,3.38837920489297
2018,västerbotten,0.740318485012252,2.10084033613445,2.31940298507463,3.14953271028037
2018,dalarna,0.696400653223813,2.40366972477064,2.14193548387097,3.18481848184819
2018,jämtland,1.53515505066012,2.70588235294118,2.15277777777778,3.07462686567164
2019,östergötland,2.57790094415622,2.28846153846154,2.24166666666667,3.46799116997793
2019,stockholm,4.20684023809033,2.40416047548291,2.458920758386,3.75510204081633
2019,dalarna,1.38905287429766,2.50574712643678,2.15602836879433,3.38888888888889
2019,halland,2.99537514078263,2.3302752293578,2.19230769230769,3.553125
2019,örebro,1.96847164580634,2.38144329896907,2.2442996742671,3.33680555555556
2019,västmanland,5.07531403505592,2.31460674157303,2.13970588235294,3.46875
2019,södermanland,3.69698191839753,2.21590909090909,2.234375,3.38888888888889
2019,västragötaland,2.02794978332805,2.21631205673759,2.29718640093787,3.49047326367548
2019,jönköping,3.02531085068991,2.10810810810811,2.18282548476454,3.42397660818713
2019,jämtland,0.764467548352572,2.13333333333333,2.35507246376812,3.136
2019,skåne,4.86272950087348,2.36,2.31916599839615,3.44548551959114
2019,uppsala,8.86078918358252,2.28301886792453,2.35359116022099,3.58771929824561
2019,västerbotten,3.68004239408838,2.23364485981308,2.30141843971631,3.25093632958802
2019,gävleborg,2.43578233849023,2.45555555555556,2.12996389891697,3.1254752851711
2019,kalmar,0.814843183429349,2.27522935779817,2.17684887459807,3.17832167832168
2019,gotland,0,2.27522935779817,2.17684887459807,3.17832167832168
2019,kronoberg,3.4744799448054,2.32894736842105,2.14204545454545,3.38323353293413
2019,värmland,1.77045047341846,2.2875,2.21799307958478,3.28782287822878
2019,blekinge,0,2.45652173913043,2.27333333333333,3.20689655172414
2019,norrbotten,6.79747134066127,2.13953488372093,2.1865671641791,3.23921568627451
2019,västernorrland,2.44551594272602,2.29333333333333,2.24390243902439,3.34913793103448
2020,värmland,0.353500539088322,2.18181818181818,2.25762711864407,3.27142857142857
2020,östergötland,1.92654305395605,2.32692307692308,2.22417153996101,3.50724637681159
2020,stockholm,6.85621595408008,2.23947051744886,2.44601328903654,3.76022877254729
2020,västragötaland,2.53683747462442,2.20508744038156,2.27756653992395,3.52805089647195
2020,halland,2.37566370104648,2.15384615384615,2.1968085106383,3.52777777777778
2020,västernorrland,2.0445382205975,2.17283950617284,2.14624505928854,3.45147679324895
2020,skåne,3.2389573148612,2.24576271186441,2.32045779685265,3.47207345065034
2020,västerbotten,1.83021464757387,2.49397590361446,2.3016393442623,3.40677966101695
2020,jönköping,3.5615462590066,2.08661417322835,2.18110236220472,3.5014245014245
2020,örebro,2.94461185108116,2.32075471698113,2.18975903614458,3.33650793650794
2020,dalarna,1.04283986151087,2.38461538461538,2.11147540983607,3.19014084507042
2020,norrbotten,2.00309277524498,2.25974025974026,2.20512820512821,3.37931034482759
2020,västmanland,3.60827160182001,2.33333333333333,2.17582417582418,3.44186046511628
2020,södermanland,5.01000330660218,2.11650485436893,2.1551724137931,3.38380281690141
2020,kronoberg,2.96643479034722,2.16666666666667,2.12626262626263,3.48587570621469
2020,uppsala,3.60458709454832,2.21705426356589,2.31043256997455,3.53005464480874
2020,kalmar,0.812975082313727,2.1530612244898,2.10191082802548,3.15807560137457
2020,gotland,0,2.1530612244898,2.10191082802548,3.15807560137457
2020,gävleborg,5.21735500970428,2.3375,2.09407665505226,3.26937269372694
2020,blekinge,1.25741877074741,2.18965517241379,2.22346368715084,3.38372093023256
2020,jämtland,1.52491327055774,2.28813559322034,2.21556886227545,3.22929936305733
